ID	Word	Group	Name	Prafab	TriggerType	TriggerTypeValue	PropertyKey	PropertyValue	ItemKey	ItemValue	EventKey	EvnetValue	TaskKey	TaskValue	UIKey	UI_Value
int	int	int	string	string	int	float	int	int	int	int	int	int	int	int	int	int
1	0	1	掉血陷阱1	Terrain_Event_1_001	1	0										
2	0	1	持续掉血陷阱1	Terrain_Event_1_002	4	0.3										
3	0	2	任务事件1	Terrain_Event_2_001	3	2										
4	0		地图4													
5	0		地图5													
6	0		地图6													
7	0		地图7													
8	0		地图8													
9	0		地图9													
10	0		地图10													
